Query,Rank,Method_A,Method_A_letter,Method_B,Method_B_letter,Winner_Method
Have Mercy on me,1,TF-IDF,Y,SBERT,X,SBERT
fasting for the spirit of abiding in the Lord's will,1,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
fasting for the spirit of abiding in the Lord's will,1,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
" O Lord our God, forgive all the sins I have committed this day in word, deed and thought, for Thou art good and lovest mankind. Grant me a peaceful sleep, free of restlessness. Send Thy Guardian Angel to protect and keep me from all harm. For Thou art the Guardian of our souls and bodies, and to Thee we ascribe glory, to the Father, and to the Son, and to the Holy Spirit, now and ever and unto ages of ages. Amen.
",3,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
fasting for the spirit of abiding in the Lord's will,1,BERT,Y,SBERT,X,SBERT
" O Lord our God, forgive all the sins I have committed this day in word, deed and thought, for Thou art good and lovest mankind. Grant me a peaceful sleep, free of restlessness. Send Thy Guardian Angel to protect and keep me from all harm. For Thou art the Guardian of our souls and bodies, and to Thee we ascribe glory, to the Father, and to the Son, and to the Holy Spirit, now and ever and unto ages of ages. Amen.
",3,SBERT,X,TF-IDF + GloVe,Y,SBERT
fasting for the spirit of abiding in the Lord's will,1,BERT,X,TF-IDF,Y,BERT
" O Lord our God, forgive all the sins I have committed this day in word, deed and thought, for Thou art good and lovest mankind. Grant me a peaceful sleep, free of restlessness. Send Thy Guardian Angel to protect and keep me from all harm. For Thou art the Guardian of our souls and bodies, and to Thee we ascribe glory, to the Father, and to the Son, and to the Holy Spirit, now and ever and unto ages of ages. Amen.
",3,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
fasting for the spirit of abiding in the Lord's will,1,SBERT,A,TF-IDF,B,SBERT
" O Lord our God, forgive all the sins I have committed this day in word, deed and thought, for Thou art good and lovest mankind. Grant me a peaceful sleep, free of restlessness. Send Thy Guardian Angel to protect and keep me from all harm. For Thou art the Guardian of our souls and bodies, and to Thee we ascribe glory, to the Father, and to the Son, and to the Holy Spirit, now and ever and unto ages of ages. Amen.
",3,SBERT,Y,BERT,X,BERT
Love for Mankind,3,TF-IDF + GloVe,B,BERT,A,BERT
" O Lord our God, forgive all the sins I have committed this day in word, deed and thought, for Thou art good and lovest mankind. Grant me a peaceful sleep, free of restlessness. Send Thy Guardian Angel to protect and keep me from all harm. For Thou art the Guardian of our souls and bodies, and to Thee we ascribe glory, to the Father, and to the Son, and to the Holy Spirit, now and ever and unto ages of ages. Amen.
",3,TF-IDF,X,BERT,Y,TF-IDF
Love for Mankind,3,SBERT,X,TF-IDF + GloVe,Y,SBERT
" O Lord our God, forgive all the sins I have committed this day in word, deed and thought, for Thou art good and lovest mankind. Grant me a peaceful sleep, free of restlessness. Send Thy Guardian Angel to protect and keep me from all harm. For Thou art the Guardian of our souls and bodies, and to Thee we ascribe glory, to the Father, and to the Son, and to the Holy Spirit, now and ever and unto ages of ages. Amen.
",3,TF-IDF,B,SBERT,A,SBERT
Love for Mankind,3,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
Love for Mankind,3,BERT,B,SBERT,A,SBERT
my soul trusteh in the Lord,3,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
Love for Mankind,3,TF-IDF,X,BERT,Y,TF-IDF
my soul trusteh in the Lord,3,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
Love for Mankind,3,SBERT,A,TF-IDF,B,SBERT
my soul trusteh in the Lord,3,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
my soul trusteh in the Lord,3,SBERT,B,BERT,A,BERT
Raimings in the Lord's will,1,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
my soul trusteh in the Lord,3,BERT,X,TF-IDF,Y,BERT
Raimings in the Lord's will,1,SBERT,X,TF-IDF + GloVe,Y,SBERT
my soul trusteh in the Lord,3,SBERT,A,TF-IDF,B,SBERT
Raimings in the Lord's will,1,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
Raimings in the Lord's will,1,BERT,X,SBERT,Y,BERT
Raimings in the Lord's will,1,BERT,A,TF-IDF + GloVe,B,BERT
Raimings in the Lord's will,1,TF-IDF,Y,BERT,X,BERT
Raimings in the Lord's will,1,SBERT,X,TF-IDF + GloVe,Y,SBERT
Raimings in the Lord's will,1,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Raimings in the Lord's will,1,SBERT,Y,TF-IDF,X,TF-IDF
Raimings in the Lord's will,1,SBERT,Y,BERT,X,BERT
fasting for the spirit of abiding in the Lord's will,3,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
Raimings in the Lord's will,1,BERT,Y,TF-IDF,X,TF-IDF
fasting for the spirit of abiding in the Lord's will,3,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Raimings in the Lord's will,1,TF-IDF,Y,SBERT,X,SBERT
fasting for the spirit of abiding in the Lord's will,3,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
fasting for the spirit of abiding in the Lord's will,3,BERT,Y,SBERT,X,SBERT
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",2,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
fasting for the spirit of abiding in the Lord's will,3,BERT,X,TF-IDF,Y,BERT
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",2,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
fasting for the spirit of abiding in the Lord's will,3,SBERT,B,TF-IDF,A,TF-IDF
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",2,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",2,SBERT,X,BERT,Y,SBERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,BERT,X,TF-IDF + GloVe,Y,BERT
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",2,TF-IDF,B,BERT,A,BERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,TF-IDF + GloVe,B,SBERT,A,SBERT
"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",2,SBERT,A,TF-IDF,B,SBERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,SBERT,Y,BERT,X,BERT
struggle,4,BERT,A,SBERT,B,BERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,BERT,Y,TF-IDF,X,TF-IDF
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,SBERT,A,TF-IDF,B,SBERT
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",4,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",4,TF-IDF + GloVe,Y,SBERT,X,SBERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",1,BERT,A,TF-IDF + GloVe,B,BERT
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",4,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",1,SBERT,A,TF-IDF + GloVe,B,SBERT
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",4,BERT,A,SBERT,B,BERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",1,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",4,BERT,Y,TF-IDF,X,TF-IDF
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",1,SBERT,A,BERT,B,SBERT
"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",4,TF-IDF,Y,SBERT,X,SBERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",1,BERT,B,TF-IDF,A,TF-IDF
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",1,SBERT,B,TF-IDF,A,TF-IDF
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,TF-IDF + GloVe,Y,BERT,X,BERT
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,SBERT,X,TF-IDF + GloVe,Y,SBERT
"O God, be attentive unto helping me; O Lord make haste to help me. Let them be ashamed and confounded that seek after my soul. ",2,BERT,A,TF-IDF + GloVe,B,BERT
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
"O God, be attentive unto helping me; O Lord make haste to help me. Let them be ashamed and confounded that seek after my soul. ",2,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,SBERT,A,BERT,B,SBERT
"O God, be attentive unto helping me; O Lord make haste to help me. Let them be ashamed and confounded that seek after my soul. ",2,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,BERT,B,TF-IDF,A,TF-IDF
"O God, be attentive unto helping me; O Lord make haste to help me. Let them be ashamed and confounded that seek after my soul. ",2,BERT,B,SBERT,A,SBERT
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,SBERT,X,TF-IDF,Y,SBERT
"O God, be attentive unto helping me; O Lord make haste to help me. Let them be ashamed and confounded that seek after my soul. ",2,BERT,X,TF-IDF,Y,BERT
"O God, be attentive unto helping me; O Lord make haste to help me. Let them be ashamed and confounded that seek after my soul. ",2,SBERT,B,TF-IDF,A,TF-IDF
Psalms containing repeated rhetorical questions directed at God during moments of suffering,2,BERT,B,TF-IDF + GloVe,A,BERT
Psalms containing repeated rhetorical questions directed at God during moments of suffering,2,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",2,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Psalms containing repeated rhetorical questions directed at God during moments of suffering,2,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",2,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
Psalms containing repeated rhetorical questions directed at God during moments of suffering,2,BERT,Y,SBERT,X,SBERT
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",2,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
Psalms containing repeated rhetorical questions directed at God during moments of suffering,2,TF-IDF,X,BERT,Y,TF-IDF
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",2,SBERT,Y,BERT,X,BERT
Psalms containing repeated rhetorical questions directed at God during moments of suffering,2,SBERT,A,TF-IDF,B,SBERT
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",2,TF-IDF,B,BERT,A,BERT
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",4,BERT,A,TF-IDF + GloVe,B,BERT
"O God without beginning or end, Who are before every created thing, and Who honors with the title of Presbyter those whom You deem worthy to serve the word of Your truth in the divine ministry of this order: You, the same sovereign Master, preserve in purity of life and in unswerving faith this man whom You have been pleased to ordain through me by the laying on of hands, graciously imparting to him the great grace of Your Holy Spirit, making him wholly Your servant, well-pleasing to You in all things, and worthily exercising this great honor of the Priesthood which You conferred upon him by the power of Your wisdom.",2,SBERT,A,TF-IDF,B,TF-IDF
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",4,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
mercy,1,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",4,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
mercy,1,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",4,BERT,B,SBERT,A,SBERT
mercy,1,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",4,TF-IDF,X,BERT,Y,TF-IDF
mercy,1,SBERT,B,BERT,A,SBERT
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",4,SBERT,A,TF-IDF,B,TF-IDF
mercy,1,BERT,B,TF-IDF,A,BERT
mercy,1,TF-IDF,B,SBERT,A,SBERT
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,5,BERT,X,TF-IDF + GloVe,Y,BERT
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,5,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
Refuge,1,TF-IDF + GloVe,Y,BERT,X,BERT
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,5,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
Refuge,1,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,5,SBERT,B,BERT,A,BERT
Refuge,1,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,5,TF-IDF,X,BERT,Y,TF-IDF
Refuge,1,SBERT,A,BERT,B,SBERT
Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?â€,5,TF-IDF,X,SBERT,Y,TF-IDF
Refuge,1,BERT,Y,TF-IDF,X,TF-IDF
Refuge,1,TF-IDF,A,SBERT,B,TF-IDF
wisdom,4,TF-IDF + GloVe,B,BERT,A,TF-IDF + GloVe
wisdom,4,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,TF-IDF + GloVe,Y,BERT,X,BERT
wisdom,4,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
wisdom,4,SBERT,Y,BERT,X,BERT
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
wisdom,4,BERT,A,TF-IDF,B,BERT
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,BERT,Y,SBERT,X,SBERT
wisdom,4,SBERT,A,TF-IDF,B,SBERT
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,TF-IDF,B,BERT,A,BERT
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,SBERT,A,TF-IDF,B,SBERT
The Lord is my helper; I will not fear what man shall do unto me.,3,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
God with with us,1,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
The Lord is my helper; I will not fear what man shall do unto me.,3,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
God with with us,1,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
The Lord is my helper; I will not fear what man shall do unto me.,3,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
God with with us,1,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
The Lord is my helper; I will not fear what man shall do unto me.,3,SBERT,A,BERT,B,SBERT
God with with us,1,BERT,Y,SBERT,X,SBERT
The Lord is my helper; I will not fear what man shall do unto me.,3,TF-IDF,A,BERT,B,TF-IDF
God with with us,1,TF-IDF,Y,BERT,X,BERT
The Lord is my helper; I will not fear what man shall do unto me.,3,TF-IDF,X,SBERT,Y,TF-IDF
God with with us,1,TF-IDF,Y,SBERT,X,SBERT
Preparation for a fruitful form of worship,3,TF-IDF + GloVe,Y,BERT,X,BERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",4,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
Preparation for a fruitful form of worship,3,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",4,TF-IDF + GloVe,Y,SBERT,X,SBERT
Preparation for a fruitful form of worship,3,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",4,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
Preparation for a fruitful form of worship,3,SBERT,Y,BERT,X,BERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",4,SBERT,X,BERT,Y,SBERT
Preparation for a fruitful form of worship,3,BERT,Y,TF-IDF,X,TF-IDF
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",4,TF-IDF,B,BERT,A,BERT
Preparation for a fruitful form of worship,3,SBERT,A,TF-IDF,B,SBERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",4,SBERT,B,TF-IDF,A,TF-IDF
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,BERT,A,TF-IDF + GloVe,B,BERT
Deliverance,4,BERT,X,SBERT,Y,BERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,TF-IDF + GloVe,Y,SBERT,X,SBERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
The Lord is my helper; I will not fear what man shall do unto me.,3,BERT,A,TF-IDF + GloVe,B,BERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,SBERT,X,BERT,Y,SBERT
The Lord is my helper; I will not fear what man shall do unto me.,3,SBERT,X,TF-IDF + GloVe,Y,SBERT
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,BERT,B,TF-IDF,A,BERT
The Lord is my helper; I will not fear what man shall do unto me.,3,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",4,TF-IDF,A,SBERT,B,TF-IDF
The Lord is my helper; I will not fear what man shall do unto me.,3,BERT,Y,SBERT,X,SBERT
The Lord is my helper; I will not fear what man shall do unto me.,3,BERT,Y,TF-IDF,X,TF-IDF
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,BERT,X,TF-IDF + GloVe,Y,BERT
The Lord is my helper; I will not fear what man shall do unto me.,3,TF-IDF,B,SBERT,A,SBERT
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
discernment,3,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,SBERT,A,BERT,B,SBERT
discernment,3,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,BERT,A,TF-IDF,B,BERT
discernment,3,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,TF-IDF,B,SBERT,A,SBERT
discernment,3,BERT,A,SBERT,B,BERT
discernment,3,TF-IDF,X,BERT,Y,TF-IDF
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
discernment,3,TF-IDF,X,SBERT,Y,TF-IDF
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
Preparation for a fruitful form of worship,3,TF-IDF + GloVe,B,BERT,A,BERT
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Preparation for a fruitful form of worship,3,SBERT,B,TF-IDF + GloVe,A,SBERT
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,SBERT,B,BERT,A,BERT
Preparation for a fruitful form of worship,3,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,TF-IDF,A,BERT,B,TF-IDF
Preparation for a fruitful form of worship,3,SBERT,X,BERT,Y,SBERT
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,SBERT,B,TF-IDF,A,TF-IDF
Preparation for a fruitful form of worship,3,BERT,Y,TF-IDF,X,TF-IDF
